Gene_ID,Chr,Testes_Specific,Ovaries_Specific,variable,value,Population
AGAP000378,X,-1,-1,I_mean_FPKM,22.12000479,I
AGAP000379,X,-1,-1,I_mean_FPKM,1.324557453,I
AGAP000380,X,-1,-1,I_mean_FPKM,8.619530448,I
AGAP000382,X,-1,-1,I_mean_FPKM,0,I
AGAP000383,X,-1,-1,I_mean_FPKM,0,I
AGAP000384,,-1,-1,I_mean_FPKM,1.047971919,I
AGAP000385,X,-1,-1,I_mean_FPKM,0.321804975,I
AGAP000386,,-1,-1,I_mean_FPKM,0.981113413,I
AGAP000387,X,-1,-1,I_mean_FPKM,4.184131693,I
AGAP000388,X,-1,-1,I_mean_FPKM,0.610807342,I
AGAP000389,X,-1,-1,I_mean_FPKM,0.010992007,I
AGAP000390,X,-1,-1,I_mean_FPKM,0.024631546,I
AGAP000391,X,-1,-1,I_mean_FPKM,8.524480654,I
AGAP000392,X,-1,-1,I_mean_FPKM,14.18704845,I
AGAP000393,X,-1,-1,I_mean_FPKM,3.119644161,I
AGAP000394,X,-1,-1,I_mean_FPKM,1.359158883,I
AGAP000395,X,-1,-1,I_mean_FPKM,10.28518514,I
AGAP000396,X,-1,-1,I_mean_FPKM,182.916108,I
AGAP000397,X,-1,-1,I_mean_FPKM,8.094775802,I
AGAP000398,X,-1,-1,I_mean_FPKM,8.358751888,I
AGAP000399,X,1,1,I_mean_FPKM,257.2603212,I
AGAP000400,X,-1,-1,I_mean_FPKM,4.348237966,I
AGAP000401,X,-1,-1,I_mean_FPKM,0.009579417,I
AGAP000402,X,-1,-1,I_mean_FPKM,16.80027693,I
AGAP000403,X,-1,-1,I_mean_FPKM,2.698034975,I
AGAP000405,X,-1,-1,I_mean_FPKM,47.75326171,I
AGAP000406,X,-1,-1,I_mean_FPKM,288.719366,I
AGAP000407,X,-1,-1,I_mean_FPKM,11.57726828,I
AGAP000408,X,-1,-1,I_mean_FPKM,0,I
AGAP000410,X,-1,-1,I_mean_FPKM,1.969460704,I
AGAP000411,X,-1,-1,I_mean_FPKM,0.292585698,I
AGAP000412,X,-1,-1,I_mean_FPKM,292.5682478,I
